Add                 "Hozzáad"
Settings.Publish.DashboardLink          "Műszerfal Link (ha kell):"
Settings.Publish.Delay                  "Késleltetés (mp):"
Settings.Publish.Mode                   "Mód:"
Settings.Publish.Password               "Jelszó (ha kell):"
Settings.Publish.Playpath               "Lejátszási Elérés/Stream Kulcs (ha kell):"
Settings.Publish.SavePath               "Fájl elérés:"
Settings.Publish.SaveToFile             "Mentés Fájlba:"
Settings.Publish.Server                 "Szerver:"
Settings.Publish.Service                "Stream Kiszolgáló:"
Settings.Publish.StartStreamHotkey      "Stream Indítás Gyorsbillentyű:"
Settings.Publish.StopStreamHotkey       "Stream Leállítás Gyorsbillentyű:"
Settings.Publish.Username               "Felhasználónév (ha kell):"

Settings.Publish.Mode.FileOnly      "Csak Fileba Rögzítés"
Settings.Publish.Mode.LiveStream    "Live Stream"

Settings.Video.Custom               "Egyedi:"
Settings.Video.DisableAero          "Aero kikapcsolása indításkor:"
Settings.Video.DisableAeroTooltip   "Az Aero kikapcsolása javasolt ha software minotr felvételt használsz"
Settings.Video.Downscale            "Felbontás csökkentése:"
Settings.Video.DownscaleTooltip     "A csökkentés javíthatja a videó minőségét a felbontás kárán."
Settings.Video.FPS                  "FPS:"
Settings.Video.Monitor              "Monitor:"
Settings.Video.Resolution           "Alap Felbontás:"

Sources.BitmapSource            "Kép"
Sources.GameCaptureSource       "Játék Felvétel"
Sources.GlobalSource            "Globális Forrás"
Sources.SoftwareCaptureSource   "Software Felvétel"
Sources.TextSource              "Szöveg"
Sources.TransitionSource        "Kép Montázs"

Sources.BitmapSource.Color      "Szín:"
Sources.BitmapSource.Empty      "Nem adtál meg képet. Kérlek keress és vállasz egy képet"
Sources.BitmapSource.Opacity    "Áttetszőség:"

Sources.GameCaptureSource.Application       "Program:"
Sources.GameCaptureSource.IgnoreAspect      "Képarány figyelmenkívűl hagyása"
Sources.GameCaptureSource.PluginDescription "A képkockákat egyenesen a játékból vagy grafikus programból emeli ki rákapcsolódva és azonnal kiemelve a képkockákat."
Sources.GameCaptureSource.PluginName        "Játék Felvétel Bővítmény"
Sources.GameCaptureSource.Requires32bit     "Ezek a programok csak az OBS 32bites verziójával felvehetőek:"
Sources.GameCaptureSource.Requires64bit     "Ezek a programok csak az OBS 64bites verziójával felvehetőek:"
Sources.GameCaptureSource.RequiresAdmin     "Ezek a programok csak adminisztrációs joggal felvehetőek (a felvételhez indítsd el az OBSot adminisztrátor ként):"
Sources.GameCaptureSource.StretchToScreen   "Kép nyújtása a képernyőhöz"

Sources.SoftwareCaptureSource.Blend                 "Vegyítés (1-100):"
Sources.SoftwareCaptureSource.CaptureLayered        "Rétegelt Ablakok Felvétele"
Sources.SoftwareCaptureSource.CaptureLayeredTip     "Áttetsző vagy átalakított/egyedi rétegelt ablakok felvételéhez Windows Aero kikapcsolásánál. Lehet hogy egér vibrálást okoz bekapcsolt állapotban. Csak akkor használd ha máshogy nem tudsz egy bizonyos programot felvenni."
Sources.SoftwareCaptureSource.ColorKey              "Színkulcs"
Sources.SoftwareCaptureSource.EntireWindow          "Teljes Ablak"
Sources.SoftwareCaptureSource.InnerWindow           "Belső Ablak"
Sources.SoftwareCaptureSource.InvertMouseOnClick    "Kurzor invert gombnyomásra."
Sources.SoftwareCaptureSource.Monitor               "Monitor:"
Sources.SoftwareCaptureSource.MonitorCapture        "Monitor Felvétel"
Sources.SoftwareCaptureSource.MonitorCaptureTooltip "Kapcsold ki az Aero-t a beállításokban az FPS maximalizálásához"
Sources.SoftwareCaptureSource.MouseCapture          "Egér kurzor felvétele"
Sources.SoftwareCaptureSource.Position              "Pozíció:"
Sources.SoftwareCaptureSource.Refresh               "Frissít"
Sources.SoftwareCaptureSource.RegionCapture         "Belterület"
Sources.SoftwareCaptureSource.RegionWindowText      "Nyomj Enter-t, Esc-et, vagy kattints a négyszögön kívülre a befejezéshez."
Sources.SoftwareCaptureSource.Select                "Kijelölés"
Sources.SoftwareCaptureSource.SelectRegion          "Terület Kijelölése"
Sources.SoftwareCaptureSource.SelectRegionTooltip   "Kijelölés alatt mozgasd gomb lenyomással és húzással, és méretezd át az éleknél fogva."
Sources.SoftwareCaptureSource.Similarity            "Hasonlóság (1-100):"
Sources.SoftwareCaptureSource.Size                  "Méret:"
Sources.SoftwareCaptureSource.SpillReduction        "Túlfolyás Csökkentés:"
Sources.SoftwareCaptureSource.UseColorKey           "Színkulcs használata:"
Sources.SoftwareCaptureSource.Window                "Ablak:"
Sources.SoftwareCaptureSource.WindowCapture         "Ablak Felvétel"
Sources.SoftwareCaptureSource.WindowCaptureTooltip  "Aero-t csak akkor szabad bekapcsolni amikot Ablak Felvételt használsz. A kép nem frissül ha a program a tálcára van kicsinyítve. Ez a felvételi megoldás általában gyorsabb mint a Monitor felvétel. Amikor az Aero be van kapcsolva a felvett ablak fölé húzott ablakok nem látszanak."
Sources.SoftwareCaptureSource.WindowMinimized       "Ablak kicsinyítve"
Sources.SoftwareCaptureSource.WindowNotFound        "Nem található az ablak"

Sources.TextSource.Align            "Igazít:"
Sources.TextSource.Bold             "Félkövér"
Sources.TextSource.Center           "Középre"
Sources.TextSource.EnterText        "Szöveg megadása"
Sources.TextSource.FileNotFound     "A '$1' fájlt nem lehet megnyitni"
Sources.TextSource.Font             "Betűtípus:"
Sources.TextSource.FontNotFound     "A '$1' betűtípus  nem található"
Sources.TextSource.FontSize         "Betűméret:"
Sources.TextSource.Italic           "Dőlt"
Sources.TextSource.Left             "Balra"
Sources.TextSource.Right            "Jobbra"
Sources.TextSource.ScrollSpeed      "Tekerési sebesség:"
Sources.TextSource.Size             "Méret:"
Sources.TextSource.Underline        "Aláhúzott"
Sources.TextSource.UseCustomExtents "Egyedi szöveg doboz használata"
Sources.TextSource.UseOutline       "Használj körvonalat"
Sources.TextSource.OutlineThickness "Vastagság:"
Sources.TextSource.UseTextExtents   "Egyedi szöveg doboz használata"
Sources.TextSource.UseTextFromFile  "Egyedi szöveg file használata (UTF-8 vagy kompatibilis)"
Sources.TextSource.VerticalScript   "Függőleges"
Sources.TextSource.Wrap             "Sortörés"

Sources.TransitionSource.Bitmaps            "Kép:"
Sources.TransitionSource.Empty              "Nem lett kép megadva megjelenítésre."
Sources.TransitionSource.FadeInOnly         "Csak beúszásnál:"
Sources.TransitionSource.TimeBetweenBitmaps "Képek közötti idő (mp):"

Updater.DownloadNow         "Szeretnéd most letölteni őket?"
Updater.NewUpdates          "A következő frissítések elérhetőek:\r\n\r\n"
Updater.RunningWarning      "OBs most újra fog indulni a frissítések telepítéséhez.\r\n\r\nBiztos hogy folytatni akarod?"
Updater.UpdatesAvailable    "Frissítések elérhetőek"
