Add                 "Lägg till"
MainWindow.SceneEditor      "Redigera scen"
MainWindow.Scenes           "Scener:"
MainWindow.Sources          "Källor:"
MainWindow.StartStream      "Börja streama"
MainWindow.StopStream       "Sluta streama"
MainWindow.StopTest         "Sluta förhandsvisa"
MainWindow.TestStream       "Förhandsvisa stream"

Plugins.Configure   "Konfigurera"
Plugins.Description "Beskrivning:"
Plugins.Filename    "Filnamn:"

Reconnecting.Retrying   "Återanslutning misslyckades. Försöker igen."

RenderView.EnableView   "Aktivera förhandsvisning"

Scene.Hotkey            "Scen-snabbtangent"
Scene.MissingSources    "Misslyckades att ladda bildkällor, antingen p.g.a. felaktiga inställningar eller saknade plugins."

Scene.Hotkey.AlreadyInUse   "Denna snabbtangent används redan."
Scene.Hotkey.Hotkey         "Snabbtangent:"

Settings.Advanced           "Avancerat"
Settings.Audio              "Ljud"
Settings.Encoding           "Encoding"
Settings.General            "Allmänt"
Settings.Info               "Dessa inställningar träder inte i kraft förrän nästa gång du börjar streama."
Settings.Publish            "Sändningsinställningar"
Settings.SaveChangesPrompt  "Vill du spara och aktivera dina ändringar?"
Settings.SaveChangesTitle   "Aktivera inställningar?"
Settings.Video              "Video"

Settings.Advanced.BindToIP                          "Bind till gränssnitt:"
Settings.Advanced.Network                           "Nätverk"
Settings.Advanced.PresetWarning                     "VARING! Att ändra din x264-grundinställning kan ha negativ inverkan på din streamkvalitet och CPU-användning.\r\n\r\nÄndra inte denna inställning om du inte är fullständigt medveten om konsekvenserna detta kan ha för din stream.\r\n\r\nTa eventuella guider som rekommenderar att du ändrar denna inställning med försiktighet. I nästan alla situationer bör detta inte ändras från sin förinställning (veryfast).\r\n\r\nÄr du helt säker på att du vill ändra din x264-grundinställning?"
Settings.Advanced.ProcessPriority                   "Processprioritet"
Settings.Advanced.SendBufferSize                    "Sändbuffert:"
Settings.Advanced.UnlockHigherFPS                   "Tillåt 61-120 FPS i videoinställningarna"
Settings.Advanced.UseCBR                            "Använd CBR"
Settings.Advanced.UseHighQualityResampling          "Använd högkvalitetsomsampling"
Settings.Advanced.UseHighQualityResamplingTooltip   "Använder sincinterpolering istället för linjär interpolering när systemet måste omsampla ljud. Kräver lite extra CPU."
Settings.Advanced.UseMultithreadedOptimizations     "Använd flertrådsoptimiseringar"
Settings.Advanced.UseSendBuffer                     "Använd sändbuffert"
Settings.Advanced.UseSendBufferTooltip              "Detta buffrar all nätverksdata innan den sänds. Ökar avsevärt din nätverkskapacitet, men kan leda till en något mer fördröjd stream.\r\n\r\nRekommendation: På, med en storlek delbar med din maximala segmentstorlek (vanligtvis 1460)."
Settings.Advanced.UseSyncFix                        "Använd video-/ljudsynkfix"
Settings.Advanced.UseSyncFixTooltip                 "I sällsynta fall kan vissa processorer och moderbord ha timing-buggar som orsakar synkroniseringsproblem hos din stream. Denna fix använder tidsstämplar istället för processortiming för att synkronisera ljud och bild. Den fungerar oftast korrekt, men försäkra dig om att din maximala FPS är så nära din capture-FPS som möjligt för att undvika eventuella bildflimmer."
Settings.Advanced.VideoEncoderCPUTradeoff           "x264-grundinställning:"
Settings.Advanced.VideoEncoderCPUTradeoffToolTip    "Öka denna inställning för att minska processoranvändning i utbyte av i streamkvalitet i någon mån. Å andra sidan kan minskning av denna inställning ge dig bättre bildkvalitet i utbyte mot mer processoranvändning.\r\n\r\nRekommendation: Veryfast"
Settings.Advanced.VideoEncoderSettings              "Anpassade x264-encoderinställningar"
Settings.Advanced.VideoEncoderSettingsTooltip       "Detta låter dig ange anpassade x264-encoderinställningar i form av [parameter]=[värde]. (T.ex. \"vbv-maxrate=1000 vbv-bufsize=1000\")."

Settings.Audio.Device               "Mikrofon/Extra ljudenhet:"
Settings.Audio.ForceMicMono         "Tvinga mic/aux-ljudenhet att använda mono:"
Settings.Audio.MicBoost             "Mic/aux-boost (gånger):"
Settings.Audio.MicTimeOffset        "Mic-tidsskillnad (millisekunder):"
Settings.Audio.MuteDesktopHotkey    "Snabbtangent för Ljud av/på, skrivbord:"
Settings.Audio.MuteMicHotkey        "Snabbtangent för Ljud av/på, mikrofon:"
Settings.Audio.PushToTalkDelay      "Push-to-talk-fördröjning (millisekunder):"
Settings.Audio.PushToTalkHotkey     "Använd Push-to-talk:"

Settings.Encoding.Audio "Ljudencoding"
Settings.Encoding.Video "Videoencoding"

Settings.Encoding.Audio.Bitrate "Bithastighet:"
Settings.Encoding.Audio.Codec   "Codec:"
Settings.Encoding.Audio.Format  "Format:"

Settings.Encoding.Video.BufferSize          "Buffertstorlek (kbit):"
Settings.Encoding.Video.BufferSizeTooltip   "Bufferstorleken anger hur stor mängd data som buffras. Detta värde påverkar i störst mån scener med mycket rörelse. Om du inte är säker på hur du ska ställa in den, använd samma värde som för din bithastighet. Vänligen se hjälpfilen för ytterligare information."
Settings.Encoding.Video.MaxBitRate          "Maximal bithastighet (kb/s):"
Settings.Encoding.Video.MaxBitRateTooltip   "Detta anger den genomsnittliga bithastigheten som används för video. Observera dock att din maximala bithastighet under korta perioder kan påverkas av din bufferstorlek. Normalt sett vill du ställa in detta en viss mängd under din maximala uppladdningshastighet.\r\n\r\nAnvänd valfri webbplats, t.ex. speedtest.net, för att ta reda på din uppladdningshastighet."
Settings.Encoding.Video.Quality             "Kvalitetsbalans:"
Settings.Encoding.Video.QualityTooltip      "Denna inställning försöker att hålla en viss kvalitetsbalans beroende på din maximala bithastighet och buffertstorlek. Ett högt värde ger prioritet till scener med lite rörelse, och kan orsaka ikonsekvent kvalitet för scener med mycket rörelse."

Settings.General.Add            "Lägg till ny"
Settings.General.ConfirmDelete  "Vill du verkligen ta bort profilen '$1'?"
Settings.General.InvalidName    "Profilnamn kan inte innehålla följande tecken:\r\n\\ / : * ? \" < > |"
Settings.General.Language       "Språk:"
Settings.General.Profile        "Inställningsprofil:"
Settings.General.Restart        "Om du byter språk måste du starta om OBS.\r\n\r\n...Fast om du försöker byta språk kanske du inte förstår det här ändå."

Settings.Publish.AutoReconnect          "Automatisk återanslutning:"
Settings.Publish.AutoReconnectTimeout   "Timeout for autoåteranslutning:"
Settings.Publish.ChannelName            "Kanalnamn:"
Settings.Publish.DashboardLink          "Dashboard-länk (om tillgängligt):"
Settings.Publish.Delay                  "Fördröjning (sekunder):"
Settings.Publish.Mode                   "Läge:"
Settings.Publish.Password               "Lösenord (om tillgängligt):"
Settings.Publish.Playpath               "Play Path/Stream Key (om tillgängligt):"
Settings.Publish.SavePath               "Filsökväg:"
Settings.Publish.SaveToFile             "Spara till fil:"
Settings.Publish.Server                 "Server:"
Settings.Publish.Service                "Streamtjänst:"
Settings.Publish.StartStreamHotkey      "Snabbtangent för att börja streama:"
Settings.Publish.StopStreamHotkey       "Snabbtangent för att sluta streama:"
Settings.Publish.Username               "Användarnamn (om tillgängligt):"

Settings.Publish.Mode.FileOnly      "Endast inspelning till fil"
Settings.Publish.Mode.LiveStream    "Live-sändning"

Settings.Video.Custom               "Anpassat:"
Settings.Video.DisableAero          "Avaktivera Aero vid programstart:"
Settings.Video.DisableAeroTooltip   "Du rekommenderas att avaktivera Aero om du använder mjukvarucapture för att streama ditt skrivbord i Windows Vista eller 7."
Settings.Video.Downscale            "Upplösningsnedskalning:"
Settings.Video.DownscaleTooltip     "Nedskalning kan ge ökad kvalitet och skärpa i utbyte mot upplösning."
Settings.Video.FPS                  "FPS:"
Settings.Video.Monitor              "Monitor:"
Settings.Video.Resolution           "Grundupplösning:"

Sources.BitmapSource            "Bild"
Sources.GameCaptureSource       "Game Capture"
Sources.GlobalSource            "Global källa"
Sources.SoftwareCaptureSource   "Mjukvarucapture"
Sources.TextSource              "Text"
Sources.TransitionSource        "Bildspel"

Sources.BitmapSource.Color      "Färg:"
Sources.BitmapSource.Empty      "Ingen bildfil angiven. Vänligen bläddra efter en bildfil."
Sources.BitmapSource.Opacity    "Opacitet:"
Sources.BitmapSource.Monitor    "Övervaka filändring:"

Sources.GameCaptureSource.Application       "Program:"
Sources.GameCaptureSource.IgnoreAspect      "Ignorera bildförhållande"
Sources.GameCaptureSource.PluginDescription "Fångar bilder direkt från spel och program genom att fästa sig vid bildbufferten och läsa bilder direkt de presenteras."
Sources.GameCaptureSource.PluginName        "Game Capture-plugin"
Sources.GameCaptureSource.Requires32bit     "Dessa program kräver 32-bit-versionen av OBS för att visas:"
Sources.GameCaptureSource.Requires64bit     "Dessa program kräver 64-bit-versionen av OBS för att visas:"
Sources.GameCaptureSource.RequiresAdmin     "Dessa program kräver att du startar OBS som administratör för att visas:"
Sources.GameCaptureSource.StretchToScreen   "Sträck ut bilden över hela skärmen"

Sources.SoftwareCaptureSource.Blend                 "Blandning (1-100):"
Sources.SoftwareCaptureSource.CaptureLayered        "Visa layered-fönster"
Sources.SoftwareCaptureSource.CaptureLayeredTip     "Visa genomskinliga/anpassade eller fönster med särskilda skins även när Aero är avaktiverad. Kan orsaka musflimmer. Aktivera endast detta om du har problem med att visa ett särskilt program."
Sources.SoftwareCaptureSource.ColorKey              "Färgfilter"
Sources.SoftwareCaptureSource.EntireWindow          "Hela fönstret"
Sources.SoftwareCaptureSource.InnerWindow           "Inre delen av fönstret"
Sources.SoftwareCaptureSource.InvertMouseOnClick    "Invertera muspekare vid klick"
Sources.SoftwareCaptureSource.Monitor               "Monitor:"
Sources.SoftwareCaptureSource.MonitorCapture        "Monitor-capture"
Sources.SoftwareCaptureSource.MonitorCaptureTooltip "Avaktivera Aero i videoinställningarna för maximal prestanda i Windows Vista/7."
Sources.SoftwareCaptureSource.MouseCapture          "Visa muspekare"
Sources.SoftwareCaptureSource.Position              "Position:"
Sources.SoftwareCaptureSource.Refresh               "Uppdatera"
Sources.SoftwareCaptureSource.RegionCapture         "Delregion"
Sources.SoftwareCaptureSource.RegionWindowText      "Tryck på Enter, Esc eller klicka utanför denna rektangel när du är klar."
Sources.SoftwareCaptureSource.Select                "Välj"
Sources.SoftwareCaptureSource.SelectRegion          "Välj region"
Sources.SoftwareCaptureSource.SelectRegionTooltip   "Du kan flytta regionen genom att klicka och dra eller ändra regionens storlek genom att klicka och dra i kanterna."
Sources.SoftwareCaptureSource.Similarity            "Likhet (1-100):"
Sources.SoftwareCaptureSource.Size                  "Storlek:"
Sources.SoftwareCaptureSource.SpillReduction        "Spillminskning:"
Sources.SoftwareCaptureSource.UseColorKey           "Använd färgfilter:"
Sources.SoftwareCaptureSource.Window                "Fönster:"
Sources.SoftwareCaptureSource.WindowCapture         "Fönster-capture"
Sources.SoftwareCaptureSource.WindowCaptureTooltip  "Lämna Aero aktiverat om du endast använder fönster-capture. Bilden kan inte uppdateras om fönstret är minimerat. Att visa fönster med denna metod är vanligtvis mycket snabbare än monitor-capture. Om Aero är aktiverat visas endast det valda fönstret, inte eventuella fönster som ligger ovanpå."
Sources.SoftwareCaptureSource.WindowMinimized       "Fönstret är minimerat"
Sources.SoftwareCaptureSource.WindowNotFound        "Kunde ej hitta fönstret"

Sources.TextSource.Align            "Justering:"
Sources.TextSource.Bold             "Fetstil"
Sources.TextSource.Center           "Centrera"
Sources.TextSource.EnterText        "Skriv in text"
Sources.TextSource.FileNotFound     "Kunde inte öppna filen '$1'"
Sources.TextSource.Font             "Typsnitt:"
Sources.TextSource.FontNotFound     "Kunde inte hitta typsnitt '$1'"
Sources.TextSource.FontSize         "Typsnittsstorlek:"
Sources.TextSource.Italic           "Kursiv"
Sources.TextSource.Left             "Vänster"
Sources.TextSource.Right            "Höger"
Sources.TextSource.ScrollSpeed      "Rullningshastighet:"
Sources.TextSource.Size             "Storlek:"
Sources.TextSource.Underline        "Understryk"
Sources.TextSource.UseCustomExtents "Använd anpassad textgrad"
Sources.TextSource.UseOutline       "Använd outline"
Sources.TextSource.OutlineThickness "Tjocklek:"
Sources.TextSource.UseTextExtents   "Använd anpassad textgrad"
Sources.TextSource.UseTextFromFile  "Hämta text från fil (UTF-8 eller kompatibel)"
Sources.TextSource.VerticalScript   "Stående"
Sources.TextSource.Wrap             "Rulla runt"

Sources.TransitionSource.Bitmaps            "Bilder:"
Sources.TransitionSource.Empty              "Det finns inga bilder att visa."
Sources.TransitionSource.FadeInOnly         "Tona endast in:"
Sources.TransitionSource.TimeBetweenBitmaps "Tid mellan bildbyten (sekunder):"

Updater.DownloadNow         "Vill du ladda ned dem nu?"
Updater.NewUpdates          "Följande uppdateringar finns tillgängliga:\r\n\r\n"
Updater.RunningWarning      "OBS kommer att startas om för att installera uppdateringarna\r\n\r\nÄr du säker på att du vill fortsätta?"
Updater.UpdatesAvailable    "Uppdateringar finns tillgängliga"
