Add                 "Papildyti"
Settings.Advanced.VideoEncoderCPUTradeoffToolTip    "Nustatant šia verte didesnis sumažina procesoriaus naudojimas, aukojant tam tikrus kokybes. Kita vertus, ši verte yra mažesne didina kokybe daugiau procesoriaus kaina \r\n\r\nRecommended: labai greitai "
Settings.Advanced.VideoEncoderSettings "Custom x264 Encoder Nustatymai"
Settings.Advanced.VideoEncoderSettingsTooltip       "Tai leidžia jums nustatyti vartotoju x264 kodavimo parametrus. [Parametras] forma = [verte] (pvz., \ "VBV-maxrate = 1000 VBV-bufsize = 1000 \")."

Settings.Audio.Device               "Mikrofonas / Pagalbiniai Audio Prietaisai:"
Settings.Audio.ForceMicMono         "Jega Mikrofonas / Pagalbiniai i mono:"
Settings.Audio.MicBoost             "Mic / Aux boost (kartotine):"
Settings.Audio.MicTimeOffset        "Mic Laiko juosta (milisekundemis):"
Settings.Audio.MuteDesktopHotkey    "Išjungti mikrofona / Ijungti mikrofona Desktop Hotkey:"
Settings.Audio.MuteMicHotkey        "Išjungti mikrofona / Ijungti mikrofona mikrofonas Hotkey:"
Settings.Audio.PushToTalkDelay      "Spustelk ir kalbeti Delay (milisekundemis):"
Settings.Audio.PushToTalkHotkey     "Naudokite Spustelk ir kalbeti:"

Settings.Encoding.Audio "Garso kodavimo"
Settings.Encoding.Video "Vaizdo kodavimo"

Settings.Encoding.Audio.Bitrate "Garso kokybe:"
Settings.Encoding.Audio.Codec   "Kodekas:"
Settings.Encoding.Audio.Format  "Formatas:"

Settings.Encoding.Video.BufferSize          "Buferio dydis (kbit):"
Settings.Encoding.Video.BufferSizeTooltip   "Buferio dydis lemia, kiek duomenu yra buferinis. Ši reikšme ypac veikia dideles judesio scenas. Jei jus nežinote, ka naudoti, nustatykite ji kaip savo bitrate. Gauti daugiau informacijos, žiurekite žinyno faila."
Settings.Encoding.Video.MaxBitRate          "Max Garso kokybe (kb/s):"
Settings.Encoding.Video.MaxBitRateTooltip   "Tai nustato didžiausia naudojama vaizdo bitrate. Pažymeti, kad nors jusu vidutine Bitrate bus šios vertes, ši verte remiasi savo buferio dydi. Bendrai norite nustatyti i žemiau savo upload bitrate vertes. \r\n\r\nNaudokite tokiu kaip speedtest.net svetaineje nustatyti jusu siuntimo bitrate."
Settings.Encoding.Video.Quality             "Kokybes balansas:"
Settings.Encoding.Video.QualityTooltip      "Šie nustatymai bus bandyti nukreipti tam tikra kokybe, priklausomai nuo jusu bitrate ir buferio dydis. Nustacius tai kaip mažas bitrate dideles vertes aukštos judesio scenu kokybe bus paaukoti už ne judanciu scenu, todel nenuosekli kokybe."

Settings.General.Add            "Prideti nauja"
Settings.General.ConfirmDelete  "Ar jus tikrai norite pašalinti profili '$1'?"
Settings.General.InvalidName    "Profilis pavadinimai negali naudoti šiuos simbolius:\r\n\\ / : * ? \" < > |"
Settings.General.Language       "Kalba:"
Settings.General.Profile        "Profilio nustatymai:"
Settings.General.Restart        "Pakeitus kalba, reikes iš naujo Pastebejimas. \r\n\r\n .. Nors aš, tarkime, jei norite pakeisti kalba, jus negalite suprasti ši"

Settings.Publish.AutoReconnect          "Auto-Prijungimas:"
Settings.Publish.AutoReconnectTimeout   "Auto-Prijungimas Minutes pertraukele:"
Settings.Publish.ChannelName            "Kanalo pavadinimas:"
Settings.Publish.DashboardLink          "Prietaisu skydelis Nuoroda (jei toks yra):"
Settings.Publish.Delay                  "(Sekundemis):"
Settings.Publish.Mode                   "Režimas:"
Settings.Publish.Password               "Slaptažodis (jei toks yra):"
Settings.Publish.Playpath               "Groti Kelias / Stream "raktas (jei toks yra):"
Settings.Publish.SavePath               "Failo maršrutas:"
Settings.Publish.SaveToFile             "Išsaugoti i faila:"
Settings.Publish.Server                 "Serveris:"
Settings.Publish.Service                "Streamo Servisas:"
Settings.Publish.StartStreamHotkey      "Pradeti Streamo klaviša:"
Settings.Publish.StopStreamHotkey       "Stop Stream klaviša:"
Settings.Publish.Username               "Vartotojo vardas (jei yra):"

Settings.Publish.Mode.FileOnly      "Failo išvesti tik"
Settings.Publish.Mode.LiveStream    "Tiesiogiai"

Settings.Video.Custom               "Vartotojas:"
Settings.Video.DisableAero          "Išjungti Aero paleidžiant:"
Settings.Video.DisableAeroTooltip   "Išjungus Aero rekomenduojamas tuo atveju, jei naudojant programine iranga, stebeti surinkimo"
Settings.Video.Downscale            "Rezoliucija Kurti mažesnio masto:"
Settings.Video.DownscaleTooltip     "Sumažinti dydis gali pagerinti vaizdo kokybe rezoliucijos išlaidas."
Settings.Video.FPS                  "FPS:"
Settings.Video.Monitor              "Monitorius:"
Settings.Video.Resolution           "Bazine Resoliucija:"

Sources.BitmapSource            "Vaizdas"
Sources.GameCaptureSource       "žaidimas "užfiksuoti"
Sources.GlobalSource            "Global šaltinis"
Sources.SoftwareCaptureSource   "Programine iranga užfiksuoti"
Sources.TextSource              "Textas"
Sources.TransitionSource        "Skaidriu peržiura vaizdu"

Sources.BitmapSource.Color      "Spalva:"
Sources.BitmapSource.Empty      "Nerastas irašytas. Prašome peržiureti ir pasirinkti bitmap"
Sources.BitmapSource.Opacity    "Neaiškumas:"

Sources.GameCaptureSource.Application       "Paraiška:"
Sources.GameCaptureSource.IgnoreAspect      "Ignoruoti kraštiniu santykis"
Sources.GameCaptureSource.PluginDescription "Fiksuoja kadrus tiesiogiai nuo žaidimu ir grafinemis programomis nedekite i programas ir skaitymo remelius, kaip jie ateina i."
Sources.GameCaptureSource.PluginName        "Žaidimo Capture Iskiepis"
Sources.GameCaptureSource.Requires32bit     "Šioms programoms butinas 32bit versija Pastebejimas užfiksuoti:"
Sources.GameCaptureSource.Requires64bit     "Šioms programoms butinas 64bit versija Pastebejimas užfiksuoti:"
Sources.GameCaptureSource.RequiresAdmin     "Šios programos reikalauja administratoriaus fiksuoti (pradeti Pastebejimas kaip administratorius fiksuoti):"
Sources.GameCaptureSource.StretchToScreen   "Ištiesk vaizda i ekrana"

Sources.SoftwareCaptureSource.Blend                 "Mišinys (1-100):"
Sources.SoftwareCaptureSource.CaptureLayered        "Capture stiklo langai"
Sources.SoftwareCaptureSource.CaptureLayeredTip     "Capture luobeliu, skaldytos arba skaidrus / Custom sluoksniu langus Aero išjungtas. Gali sukelti pele mirgejimas, kai ijungta. Tik leidžia, jei jus negalite užfiksuoti konkrecia paskirti."
Sources.SoftwareCaptureSource.ColorKey              "Spalvos Raktas"
Sources.SoftwareCaptureSource.EntireWindow          "Visame lange"
Sources.SoftwareCaptureSource.InnerWindow           "Vidinis langas"
Sources.SoftwareCaptureSource.InvertMouseOnClick    "Apverskite žymekli ant paspaudima"
Sources.SoftwareCaptureSource.Monitor               "Monitorius:"
Sources.SoftwareCaptureSource.MonitorCapture        "Monitorius užfiksuoti"
Sources.SoftwareCaptureSource.MonitorCaptureTooltip "Išjungti Aero vaizdo parametrus, siekiant maksimaliai padidinti FPS"
Sources.SoftwareCaptureSource.MouseCapture          "Užfiksuoti peles žymekli"
Sources.SoftwareCaptureSource.Position              "Pozicija:"
Sources.SoftwareCaptureSource.Refresh               "Atnaujinti"
Sources.SoftwareCaptureSource.RegionCapture         "Subregionas"
Sources.SoftwareCaptureSource.RegionWindowText      "Paspauskite Enter, Esc, arba spustelekite už šio staciakampio, kai visiškai."
Sources.SoftwareCaptureSource.Select                "Spausti"
Sources.SoftwareCaptureSource.SelectRegion          "Pasirinkti Regijona"
Sources.SoftwareCaptureSource.SelectRegionTooltip   "Renkantis regiona, perkelti spusteledami ir vilkdami arba dydi staciakampi paspaude kraštus."
Sources.SoftwareCaptureSource.Similarity            "Panašumas (1-100):"
Sources.SoftwareCaptureSource.Size                  "Dydis:"
Sources.SoftwareCaptureSource.SpillReduction        "išsiliejimo mažinimas:"
Sources.SoftwareCaptureSource.UseColorKey           "Naudoti spalvos rakta:"
Sources.SoftwareCaptureSource.Window                "Langas:"
Sources.SoftwareCaptureSource.WindowCapture         "Lango užfiksuoti"
Sources.SoftwareCaptureSource.WindowCaptureTooltip  "Aero "gali buti ijungtas, jei naudojate Langas surinkimo. Nuotrauka negali atnaujinti o sumažintas. Užfiksuoti paprastai yra daug greiciau su šiuo metodu, nei monitoriaus surinkimo. Kai yra ijungtas aviacijos viršuje, langai nebus rodomi."
Sources.SoftwareCaptureSource.WindowMinimized       "Lango minimalizavimas"
Sources.SoftwareCaptureSource.WindowNotFound        "Negali rasti lango"

Sources.TextSource.Align            "Lygiuoti:"
Sources.TextSource.Bold             "Drasus"
Sources.TextSource.Center           "Centras"
Sources.TextSource.EnterText        "Iveskite teksta"
Sources.TextSource.FileNotFound     "Nepavyko atidaryti failo '$1'"
Sources.TextSource.Font             "Šriftas:"
Sources.TextSource.FontNotFound     "Šriftas '$1' nerasta"
Sources.TextSource.FontSize         "Šrifto Dydis:"
Sources.TextSource.Italic           "Kursyvinis"
Sources.TextSource.Left             "kaire puse"
Sources.TextSource.Right            "dešine puse"
Sources.TextSource.ScrollSpeed      "Pereikite greitis:"
Sources.TextSource.Size             "Dydis:"
Sources.TextSource.Underline        "Pabrežti"
Sources.TextSource.UseCustomExtents "Naudoti pasirinktines teksto mastu"
Sources.TextSource.UseOutline       "Naudoti apybraiža"
Sources.TextSource.OutlineThickness "Storis:"
Sources.TextSource.UseTextExtents   "Naudoti pasirinktines teksto mastu"
Sources.TextSource.UseTextFromFile  "Naudokite Tekstas iš failo (UTF-8 arba suderinamas)"
Sources.TextSource.VerticalScript   "Verticaliai"
Sources.TextSource.Wrap             "Ivynioti"

Sources.TransitionSource.Bitmaps            "Bitmaps:"
Sources.TransitionSource.Empty              "Kol kas nera bitmaps irašytas rodyti."
Sources.TransitionSource.FadeInOnly         "Tik blukinti:"
Sources.TransitionSource.TimeBetweenBitmaps "Laikas tarp vaizdu (sekundemis):"

Updater.DownloadNow         "Noretumete atsisiusti juos dabar?"
Updater.NewUpdates          "Šie atnaujinimai yra prieinami:\r\n\r\n"
Updater.RunningWarning      "Pastebejimas bus paleistas iš naujo idiegti naujinimus. \r\n\r\nAr tikrai norite testi?"
Updater.UpdatesAvailable    "Atnaujinimai yra prieinami"
