Add                 "Ajouter"
MainMenu.Profiles   "&Profils"
MainMenu.Settings   "&Paramètres"

MainMenu.Settings.AlwaysOnTop "&Toujours au premier plan"
MainMenu.Settings.FullscreenMode    "Aperçu &Plein-écran"

MainMenu.File.Exit  "&Quitter"
MainMenu.File.Save  "&Sauvegarder"

MainMenu.Help.Contents      "&À propos"
MainMenu.Help.VisitWebsite  "Visiter le site web"

MainMenu.Settings.OpenConfigFolder  "Ouvrir le dossier de &Configuration"
MainMenu.Settings.OpenLogFolder     "Ouvrir le dossier &Journal"

MainWindow.BeginMessage     "Ne diffuse pas\n\nCliquer sur \"Commencer le Streaming\" ou \"Tester le Streaming\" pour démarrer"
MainWindow.PreviewDisabled  "Aperçu désactivé"
MainWindow.Dashboard        "Tableau de bord"
MainWindow.DroppedFrames    "Frames perdues:"
MainWindow.Exit             "Sortir"
MainWindow.Plugins          "Plugins"
MainWindow.SceneEditor      "Éditer la Scène"
MainWindow.Scenes           "Scènes:"
MainWindow.Sources          "Sources:"
MainWindow.StartStream      "Commencer le Streaming"
MainWindow.StopStream       "Arrêter le Streaming"
MainWindow.StopTest         "Arrêter le Test"
MainWindow.TestStream       "Tester le Streaming"

Plugins.Configure   "Configurer"
Plugins.Description "Description:"
Plugins.Filename    "Nom du fichier:"

Reconnecting.Retrying   "N'a pas pu se connecter, reconnexion..."

RenderView.EnableView           "Activer l'Aperçu"
RenderView.DisplayPanel         "Activer le Panneau de contrôle"
RenderView.ViewModeScaleToFit   "Étirer à l'échelle de la fenêtre"
RenderView.ViewMode1To1         "Mode 1:1"

Scene.Hotkey            "Raccourci clavier de la scène"
Scene.MissingSources    "Impossible de charger toutes les images sources à cause de paramètres invalides ou de plugins absent"

Scene.Hotkey.AlreadyInUse   "Ce raccourci clavier est déjà utilisé."
Scene.Hotkey.Hotkey         "Raccourci clavier:"

Settings.Advanced           "Options avancées"
Settings.Audio              "Audio"
Settings.Encoding           "Encodage"
Settings.General            "Général"
Settings.Info               "Ces paramètres ne seront appliqués qu'au prochain stream."
Settings.Publish            "Publier les paramètres"
Settings.SaveChangesPrompt  "Voulez-vous appliquer et sauver les changements?"
Settings.SaveChangesTitle   "Appliquer les paramètres?"
Settings.Video              "Vidéo"

Settings.Advanced.BindToIP                          "Interface réseau:"
Settings.Advanced.Network                           "Réseau"
Settings.Advanced.ProcessPriority                   "Définir la priorité"
Settings.Advanced.SendBufferSize                    "Taille du Buffer d'envoi:"
Settings.Advanced.UnlockHigherFPS                   "Autoriser l'entrée 61-120 FPS dans les paramètres vidéo"
Settings.Advanced.UseCBR                            "Utiliser CBR"
Settings.Advanced.UseCFR                            "Utiliser CFR"
Settings.Advanced.UseMultithreadedOptimizations     "Utiliser l'optimisation Multi-threadé"
Settings.Advanced.UseSendBuffer                     "Utiliser un Buffer d'envoi"
Settings.Advanced.UseTripleBuffering                "Utiliser la Triple mise en mémoire-tampon"
Settings.Advanced.VideoEncoderCPUTradeoff           "x264 CPU Réglage prédéfini:"
Settings.Advanced.VideoEncoderSettings              "Paramètres personnalisés de l'encodeur x264"
Settings.Advanced.Priority.Idle                     "Basse"
Settings.Advanced.Priority.Normal                   "Normale"
Settings.Advanced.Priority.AboveNormal              "Supérieure à la Normale"
Settings.Advanced.Priority.High                     "Haute"

Settings.Audio.DesktopBoost         "Gain du Périphérique audio principal (multiple):"
Settings.Audio.Device            "Microphone/Périphérique audio Auxiliaire:"
Settings.Audio.ForceMicMono         "Forcer le Microphone/Aux en Mono:"
Settings.Audio.MicBoost             "Gain Mic/Aux (multiple):"
Settings.Audio.PlaybackDevice       "Périphérique audio principal:"
Settings.Audio.PushToTalkHotkey     "Appuyer pour parler:"

Settings.Encoding.Audio   "Encodage audio"
Settings.Encoding.Video   "Encodage vidéo"

Settings.Encoding.Audio.Bitrate  "Bitrate:"
Settings.Encoding.Audio.Codec    "Codec:"
Settings.Encoding.Audio.Format   "Format:"

Settings.Encoding.Video.BufferSize      "Taille du Buffer (kbit):"
Settings.Encoding.Video.CustomBuffer    "Utiliser une taille de buffer personnalisée"
Settings.Encoding.Video.MaxBitRate      "Bitrate Max (kb/s):"
Settings.Encoding.Video.Quality         "Qualité:"

Settings.General.Add                    "Ajouter nouveau"
Settings.General.ConfirmDelete          "Êtes-vous sûr de vouloir supprimer le profil '$1'?"
Settings.General.InvalidName            "Le nom des profils ne peut pas utiliser les caractères suivants:\r\n\\ / : * ? \" < > |"
Settings.General.Language               "Langue:"
Settings.General.Profile                "Profils des paramètres:"
Settings.General.Notification           "Icône dans la zone de notification"
Settings.General.NotificationMinimize   "Minimiser dans la zone de notification"
Settings.General.ShowObs                "Montrer OBS"
Settings.General.HideObs                "Cacher OBS"
Settings.General.Restart                "Changer le langage requiert un redémarrage de OBS.\r\n\r\n..Mais je suppose que si vous changez le langage vous ne comprendrez pas ça"

Settings.Publish.AutoReconnect          "Reconnexion automatique:"
Settings.Publish.AutoReconnectTimeout   "Délai de reconnexion automatique:"
Settings.Publish.ChannelName            "Nom de la chaîne:"
Settings.Publish.DashboardLink          "Lien vers le Tableau de bord (si besoin):"
Settings.Publish.Delay                  "Délai (secondes):"
Settings.Publish.LowLatencyMode         "Minimiser l'impact sur le réseau:"
Settings.Publish.Mode                   "Mode:"
Settings.Publish.Password               "Mot de passe (si besoin):"
Settings.Publish.Playpath               "Clef du Stream (si besoin):"
Settings.Publish.SavePath               "Chemin du fichier:"
Settings.Publish.SaveToFile             "Sauver dans un fichier:"
Settings.Publish.Server                 "Serveur:"
Settings.Publish.Service                "Service de Stream:"
Settings.Publish.Username               "Nom d'utilisateur (si besoin):"
Settings.Publish.Mode.FileOnly          "Sortie vers un Fichier seulement"
Settings.Publish.Mode.LiveStream        "Stream en Direct"

Settings.Video.Custom               "Personnalisée:"
Settings.Video.Device               "Périphérique vidéo:"
Settings.Video.DisableAero          "Désactiver Aéro au démarrage:"
Settings.Video.DisableAeroTooltip   "Il est recommandé de désactiver Aéro si vous utiliser la Capture d'écran"
Settings.Video.Downscale            "Diminuer la résolution:"
Settings.Video.Filter               "Filtre:"
Settings.Video.FPS                  "FPS:"
Settings.Video.Monitor              "Écran:"
Settings.Video.Resolution           "Résolution de base:"

Settings.Video.Filter.Bilinear      "Bilinéaire (rapide)"
Settings.Video.Filter.Bicubic       "Bicubic sharper (bon détail, 16 samples)"
Settings.Video.Filter.Lanczos       "Lanczos (meilleur détail, 36 samples)"

Sources.BitmapSource            "Image"
Sources.GameCaptureSource       "Capture de Jeu"
Sources.GlobalSource            "Source Globale"
Sources.SoftwareCaptureSource   "Capture Logicielle"
Sources.TextSource              "Texte"
Sources.TransitionSource        "Diaporama"

Sources.BitmapSource.Color      "Couleur:"
Sources.BitmapSource.Empty      "Aucune image entrée.  Veuillez choisir une image"
Sources.BitmapSource.Opacity    "Opacité:"
Sources.BitmapSource.Monitor    "Vérifier les changement sur le fichier?:"

Sources.GameCaptureSource.Application       "Application:"
Sources.GameCaptureSource.IgnoreAspect     "Ignorer le rapport hauteur/largeur"
Sources.GameCaptureSource.Requires32bit     "Cette application nécessite une version 32Bits de OBS pour être capturée:"
Sources.GameCaptureSource.Requires64bit     "Cette application nécessite une version 64Bits de OBS pour être capturée:"
Sources.GameCaptureSource.RequiresAdmin     "Cette application requiert l'accès en tant qu'administrateur pour être capturée (démarrer OBS en tant qu'administrateur pour capturer):"
Sources.GameCaptureSource.SelectApplication "Sélectionner l'application"
Sources.GameCaptureSource.StretchToScreen   "Étirer l'image à l'écran"
Sources.GameCaptureSource.UseHotkey         "Utiliser un raccourci clavier"

Sources.SoftwareCaptureSource.Blend                 "Fondu (1-100):"
Sources.SoftwareCaptureSource.CompatibilityMode     "Mode de compatibilité"
Sources.SoftwareCaptureSource.EntireWindow          "Fenêtre entière"
Sources.SoftwareCaptureSource.InnerWindow           "Intérieur de la fenêtre"
Sources.SoftwareCaptureSource.InvertMouseOnClick    "Inverser la couleur du curseur lors d'un clic"
Sources.SoftwareCaptureSource.Monitor               "Écran:"
Sources.SoftwareCaptureSource.MonitorCapture        "Capture d'écran"
Sources.SoftwareCaptureSource.MonitorCaptureTooltip "Désactiver Aéro dans les paramètres vidéo pour maximiser les FPS"
Sources.SoftwareCaptureSource.MouseCapture          "Capturer le curseur de la souris"
Sources.SoftwareCaptureSource.PointFiltering        "Utiliser le filtrage par point"
Sources.SoftwareCaptureSource.Position              "Position:"
Sources.SoftwareCaptureSource.RegionCapture         "Capturer une Région"
Sources.SoftwareCaptureSource.RegionWindowText      "Appuyer sur Enter, Esc, ou cliquer à l'extérieur de ce rectangle quand vous avez terminé."
Sources.SoftwareCaptureSource.Select                "Sélection"
Sources.SoftwareCaptureSource.SelectRegion          "Sélectionner une Région"
Sources.SoftwareCaptureSource.SelectRegionTooltip   "Lorsque vous sélectionnez une région, vous pouvez cliquer et déplacer, ou redimmensionner le rectangle en cliquant sur les bordures."
Sources.SoftwareCaptureSource.SetStreamSize         "Définir une résolution de base"
Sources.SoftwareCaptureSource.Similarity            "Similarité (1-100):"
Sources.SoftwareCaptureSource.Size                  "Taille:"
Sources.SoftwareCaptureSource.Window                "Fenêtre:"
Sources.SoftwareCaptureSource.WindowCapture         "Capture de la fenêtre"
Sources.SoftwareCaptureSource.WindowMinimized       "La fenêtre est minimisée"
Sources.SoftwareCaptureSource.WindowNotFound        "Ne peut pas trouver la fenêtre"

Sources.TextSource.Align                "Alignement:"
Sources.TextSource.BackgroundColor      "Couleur du fond:"
Sources.TextSource.BackgroundOpacity    "Transparence du fond:"
Sources.TextSource.Bold                 "Gras"
Sources.TextSource.Center               "Centré"
Sources.TextSource.EnterText            "Entrer le texte"
Sources.TextSource.FileNotFound         "Ne peut pas ouvrir le fichier '$1'"
Sources.TextSource.Font                 "Police:"
Sources.TextSource.FontNotFound         "La Police '$1' ne peut pas être trouvée"
Sources.TextSource.FontSize             "Taille de la Police:"
Sources.TextSource.Italic               "Italique"
Sources.TextSource.Left                 "Gauche"
Sources.TextSource.Right                "Droite"
Sources.TextSource.ScrollSpeed          "Vitesse de défilement:"
Sources.TextSource.Size                 "Taille:"
Sources.TextSource.Underline            "Souligné"
Sources.TextSource.UseOutline           "Contour"
Sources.TextSource.OutlineThickness     "Épaisseur:"
Sources.TextSource.OutlineOpacity       "Transparence:"
Sources.TextSource.VerticalScript       "Verticale"

Sources.TransitionSource.Bitmaps            "Images:"
Sources.TransitionSource.Empty              "Il n'y a aucune image à afficher."
Sources.TransitionSource.TimeBetweenBitmaps "Temps entre les images (secondes):"
Sources.TransitionSource.DisableFading      "Désactiver le fondu:"

Updater.DownloadNow         "Voulez-vous les télécharger maintenant?"
Updater.NewUpdates          "Les mises à jour suivantes sont disponibles:\r\n\r\n"
Updater.RunningWarning      "OBS va redémarrer pour installer les mises à jour./r/n/r/nÊtes-vous sur de vouloir continuer?"
Updater.UpdatesAvailable    "Mises à jour disponibles"
